datetime,power,temp,dew,precip,snow,windspeed,winddir,cloudcover,solarradiation,uvindex,Day sin,Day cos,Month sin,Month cos,Year sin,Year cos
2022-04-02 08:00:00,48.0,-0.5,-2.1,0.25,0.0,20.2,30.0,99.9,56.0,1.0,0.8660254037889157,-0.4999999999922455,0.7660444431190679,-0.6427876096864322,0.9999747970266853,-0.007099669812000286
2022-04-02 09:00:00,242.0,0.1,-2.3,0.07,0.0,21.2,30.0,100.0,130.0,1.0,0.7071067811863213,-0.7071067811867737,0.7518398074789598,-0.6593458151000889,0.9999694512269047,-0.007816432240030145
2022-04-02 10:00:00,804.0,0.5,-2.0,0.07,0.0,22.0,30.0,99.8,227.0,2.0,0.5000000000042937,-0.8660254037819597,0.7372773368099935,-0.6755902076158027,0.9999635916658636,-0.008533190652157241
2022-04-02 11:00:00,1128.0,0.7,-2.3,0.25,0.0,23.4,30.0,99.9,280.0,3.0,0.25881904511240783,-0.9659258262864191,0.7223639620595068,-0.6915130557825292,0.9999572183465724,-0.009249944680127622
2022-04-02 12:00:00,1350.0,1.4,-3.2,0.0,0.0,21.3,40.0,100.0,306.0,3.0,9.617685733190089e-13,-1.0,0.7071067811874617,-0.7071067811856334,0.9999503312723056,-0.009966693955689583
2022-04-02 13:00:00,1560.0,2.2,-3.4,0.0,0.0,22.0,40.0,99.8,282.0,3.0,-0.2588190450964937,-0.9659258262906832,0.691513055783083,-0.7223639620589767,0.9999429304466015,-0.010683438110593866
2022-04-02 14:00:00,1410.0,2.6,-4.1,0.0,0.0,23.7,50.0,100.0,301.0,3.0,-0.49999999999002553,-0.8660254037901974,0.6755902076163679,-0.7372773368094756,0.9999350158732628,-0.011400176776593836
2022-04-02 15:00:00,1404.0,2.9,-4.2,0.0,0.0,19.8,30.0,100.0,247.0,2.0,-0.7071067811849612,-0.7071067811881339,0.6593458151006653,-0.7518398074784544,0.9999265875563549,-0.012116909585502527
2022-04-02 16:00:00,914.0,2.7,-5.2,0.0,0.0,21.3,40.0,100.0,132.0,1.0,-0.866025403780678,-0.5000000000065137,0.6427876096870194,-0.7660444431185751,0.9999176455002095,-0.012833636168965457
2022-04-02 17:00:00,648.0,2.7,-5.3,0.0,0.0,20.9,40.0,97.4,156.0,2.0,-0.9659258262857556,-0.2588190451148838,0.625923472184418,-0.7798844830925937,0.9999081897094201,-0.013550356158801865
2022-04-02 18:00:00,330.0,2.7,-5.6,0.0,0.0,15.8,40.0,96.9,70.0,1.0,-1.0,-3.5251127249135278e-12,0.6087614290089537,-0.7933533402910563,0.9998982201888449,-0.014267069186777535
2022-04-02 19:00:00,92.0,1.6,-3.7,0.0,0.0,14.4,30.0,98.8,33.0,0.0,-0.9659258262913467,0.25881904509401776,0.591309648363685,-0.8064446042674073,0.999887736943606,-0.01498377488466183
2022-04-02 20:00:00,0.0,1.6,-4.4,0.0,0.0,12.6,30.0,99.0,0.0,0.0,-0.8660254037842031,0.500000000000408,0.573576436351014,-0.8191520442890143,0.9998767399790894,-0.01570047288422788
2022-04-02 21:00:00,0.0,1.1,-3.7,0.0,0.0,10.8,30.0,98.3,0.0,0.0,-0.7071067811899464,0.7071067811831486,0.5555702330194311,-0.8314696123026596,0.9998652293009452,-0.01641716281725276
2022-04-02 22:00:00,0.0,0.9,-4.0,0.0,0.0,10.7,30.0,97.7,0.0,0.0,-0.5000000000087336,0.8660254037793963,0.537299608348044,-0.8433914458121083,0.9998532049150873,-0.01713384431551771
2022-04-02 23:00:00,0.0,0.4,-4.2,0.0,0.0,9.7,20.0,0.0,0.0,0.0,-0.2588190451033037,0.9659258262888585,0.5187732581616159,-0.8549118706722825,0.9998406668276936,-0.017850517010808288
2022-04-03 00:00:00,0.0,-0.4,-4.5,0.0,0.0,8.6,20.0,50.0,0.0,0.0,-6.088456876508047e-12,1.0,0.5000000000009645,-0.8660254037838818,0.9998276150452057,-0.018567180534914574
2022-04-03 01:00:00,0.0,-1.2,-4.3,0.0,0.0,7.2,360.0,82.4,0.0,0.0,0.25881904509154174,0.9659258262920101,0.4809887689202181,-0.8767267557070522,0.9998140495743293,-0.019283834519631365
2022-04-03 02:00:00,0.0,-1.9,-4.2,0.0,0.0,4.7,29.0,71.4,0.0,0.0,0.49999999999818806,0.8660254037854848,0.4617486132357264,-0.8870108331778612,0.9997999704220343,-0.020000478596758364
2022-04-03 03:00:00,0.0,-2.0,-4.6,0.0,0.0,9.0,30.0,0.2,0.0,0.0,0.7071067811813361,0.707106781191759,0.44228869021955214,-0.8968727415324167,0.999785377595554,-0.020717112398100354
